127.0.0.1 - - [22/Jan/2025:20:11:31 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/ HTTP/1.1" 200 16480
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/images/brownie.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/images/pcake.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/images/cake/b4.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/images/cake/b7.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/images/cake/good HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/images/cake/good%20product HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/images/cake/good HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/images/shop.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:34 +0530] "GET /Cake_Shop/images/bgimg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:56 +0530] "GET /Cake_Shop/ HTTP/1.1" 200 16480
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:56 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:56 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:56 +0530] "GET /Cake_Shop/images/cake/good HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:56 +0530] "GET /Cake_Shop/images/cake/good%20product HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:56 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:56 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:56 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:56 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:56 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:56 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:56 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:11:56 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:19:45 +0530] "GET /Cake_Shop/ HTTP/1.1" 200 16499
