127.0.0.1 - - [20/Feb/2025:20:28:38 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:40 +0530] "GET /Cake_Shop/ HTTP/1.1" 200 16464
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:40 +0530] "GET /Cake_Shop/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:40 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:40 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:40 +0530] "GET /Cake_Shop/images/cake/b1.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:40 +0530] "GET /Cake_Shop/images/cake/b2.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:40 +0530] "GET /Cake_Shop/images/cake/b3.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:40 +0530] "GET /Cake_Shop/images/cake/b4.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:40 +0530] "GET /Cake_Shop/images/cake/b6.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:40 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:40 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:40 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:40 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:40 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:40 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:40 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:40 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:40 +0530] "GET /Cake_Shop/images/shop.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:28:42 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:29:06 +0530] "GET /Cake_Shop/register.jsp HTTP/1.1" 200 6655
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:29:06 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:29:06 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:29:06 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:29:06 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:29:13 +0530] "GET /Cake_Shop/login.jsp HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:29:13 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:29:13 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
